TOTAL,SW,EB,INST_TOT,INST_SW,INST_EB,STATE,YEAR
5363.0,3489.0,860.0,3270.0,2371.0,569.0,United States,1994
3777.0,2568.0,254.0,2311.0,1800.0,175.0,Alabama,1994
7890.0,5040.0,1251.0,4099.0,2926.0,670.0,Alaska,1994
4041.0,2993.0,487.0,2329.0,1948.0,302.0,Arizona,1994
4060.0,2695.0,280.0,2540.0,1867.0,171.0,Arkansas,1994
4917.0,3036.0,954.0,2931.0,1977.0,615.0,California,1994
4772.0,3194.0,708.0,2936.0,2245.0,480.0,Colorado,1994
7629.0,5116.0,933.0,4899.0,3774.0,663.0,Connecticut,1994
6208.0,3734.0,1256.0,3922.0,2612.0,885.0,Delaware,1994
9187.0,5623.0,1802.0,4351.0,3117.0,908.0,District of Columbia,1994
4934.0,3215.0,1097.0,2800.0,1968.0,655.0,Florida,1994
4663.0,3078.0,831.0,2841.0,2105.0,584.0,Georgia,1994
5532.0,3623.0,1013.0,3410.0,2456.0,684.0,Hawaii,1994
3602.0,2324.0,498.0,2276.0,1643.0,342.0,Idaho,1994
5297.0,3437.0,680.0,3216.0,2467.0,424.0,Illinois,1994
5128.0,3409.0,763.0,3111.0,2324.0,529.0,Indiana,1994
5060.0,3339.0,804.0,3112.0,2236.0,531.0,Iowa,1994
5164.0,3515.0,564.0,2998.0,2374.0,337.0,Kansas,1994
5020.0,3193.0,691.0,3048.0,2168.0,410.0,Kentucky,1994
4049.0,2686.0,741.0,2439.0,1809.0,497.0,Louisiana,1994
5561.0,3443.0,584.0,3683.0,2576.0,380.0,Maine,1994
6100.0,3893.0,834.0,3641.0,2581.0,526.0,Maryland,1994
6413.0,3752.0,326.0,4029.0,2750.0,237.0,Massachusetts,1994
6391.0,4083.0,1096.0,3642.0,2552.0,668.0,Michigan,1994
5477.0,3549.0,966.0,3550.0,2497.0,695.0,Minnesota,1994
3423.0,2277.0,419.0,2120.0,1616.0,294.0,Mississippi,1994
4483.0,3062.0,605.0,2737.0,2086.0,387.0,Missouri,1994
4985.0,3186.0,863.0,3118.0,2260.0,599.0,Montana,1994
5410.0,3286.0,892.0,3626.0,2349.0,640.0,Nebraska,1994
