STATE,A_MEDIAN,OCC_CAT,YEAR
Alabama,28140,00,2008
Alabama,76450,11,2008
Alabama,53880,13,2008
Alabama,64770,15,2008
Alabama,66990,17,2008
Alabama,48830,19,2008
Alabama,36900,21,2008
Alabama,66000,23,2008
Alabama,41800,25,2008
Alabama,32900,27,2008
Alabama,46330,29,2008
Alabama,20490,31,2008
Alabama,28920,33,2008
Alabama,15450,35,2008
Alabama,18760,37,2008
Alabama,17440,39,2008
Alabama,20590,41,2008
Alabama,25960,43,2008
Alabama,26270,45,2008
Alabama,30500,47,2008
Alabama,36310,49,2008
Alabama,26540,51,2008
Alabama,24610,53,2008
Alaska,39190,00,2008
Alaska,71560,11,2008
Alaska,56990,13,2008
Alaska,63470,15,2008
Alaska,77050,17,2008
Alaska,56310,19,2008
Alaska,40870,21,2008
Alaska,70030,23,2008
Alaska,48130,25,2008
Alaska,39410,27,2008
Alaska,67330,29,2008
Alaska,31680,31,2008
Alaska,40940,33,2008
Alaska,20810,35,2008
Alaska,26250,37,2008
Alaska,24950,39,2008
Alaska,26090,41,2008
Alaska,34100,43,2008
Alaska,30240,45,2008
Alaska,56520,47,2008
Alaska,50890,49,2008
Alaska,30260,51,2008
Alaska,36200,53,2008
Arizona,30940,00,2008
Arizona,75970,11,2008
Arizona,50960,13,2008
Arizona,64830,15,2008
Arizona,63130,17,2008
Arizona,51470,19,2008
Arizona,37860,21,2008
Arizona,61560,23,2008
Arizona,37000,25,2008
Arizona,37280,27,2008
Arizona,55760,29,2008
Arizona,24630,31,2008
Arizona,35260,33,2008
Arizona,17140,35,2008
Arizona,20150,37,2008
Arizona,21480,39,2008
Arizona,24930,41,2008
Arizona,28420,43,2008
Arizona,17770,45,2008
Arizona,33930,47,2008
Arizona,37580,49,2008
Arizona,27840,51,2008
Arizona,26370,53,2008
Arkansas,26790,00,2008
Arkansas,68390,11,2008
Arkansas,47450,13,2008
Arkansas,54480,15,2008
Arkansas,56390,17,2008
Arkansas,46270,19,2008
Arkansas,30550,21,2008
Arkansas,49860,23,2008
Arkansas,39430,25,2008
Arkansas,30970,27,2008
Arkansas,45330,29,2008
Arkansas,20170,31,2008
Arkansas,28980,33,2008
Arkansas,15740,35,2008
Arkansas,18470,37,2008
Arkansas,16460,39,2008
Arkansas,20270,41,2008
Arkansas,24780,43,2008
